eps,eps_pixel,attack_source,eval_model,is_white_box,total,clean_accuracy_eval_model,adv_accuracy_all,attack_success_all,adv_accuracy_on_clean_correct_eval_model,attack_success_on_clean_correct_eval_model,source_success_count,source_success_transfer_rate_all,source_success_transfer_rate_eval_clean_correct,toplogit_norm_margin_mean,toplogit_norm_margin_median,toplogit_norm_margin_p25,toplogit_norm_margin_p75
0.0,0.0,hira_ranpac_regression,hira_ranpac_regression,1,1000,0.732,0.732,0.268,1.0,0.0,0,nan,nan,0.21846085707804014,0.30804702639579773,-0.05131717398762703,0.5209562033414841
0.0,0.0,hira_ranpac_regression,original,0,1000,0.735,0.735,0.265,1.0,0.0,0,nan,nan,0.2086730496166274,0.2947865277528763,-0.030609574168920517,0.49910473078489304
0.0,0.0,original,hira_ranpac_regression,0,1000,0.732,0.732,0.268,1.0,0.0,0,nan,nan,0.21846085707804014,0.30804702639579773,-0.05131717398762703,0.5209562033414841
0.0,0.0,original,original,1,1000,0.735,0.735,0.265,1.0,0.0,0,nan,nan,0.2086730496166274,0.2947865277528763,-0.030609574168920517,0.49910473078489304
0.00392156862745098,1.0,hira_ranpac_regression,hira_ranpac_regression,1,1000,0.732,0.704,0.29600000000000004,0.9617486338797814,0.03825136612021862,28,1.0,1.0,0.18470380420261062,0.2713593542575836,-0.10262630507349968,0.5144945085048676
0.00392156862745098,1.0,hira_ranpac_regression,original,0,1000,0.735,0.701,0.29900000000000004,0.9537414965986395,0.04625850340136051,28,0.8928571428571429,0.875,0.1760243926292751,0.2593430131673813,-0.08183795399963856,0.4892193451523781
0.00392156862745098,1.0,original,hira_ranpac_regression,0,1000,0.732,0.699,0.30100000000000005,0.9549180327868853,0.04508196721311475,39,0.8717948717948718,0.8387096774193549,0.18054425224731677,0.26400263607501984,-0.11246489360928535,0.5121334940195084
0.00392156862745098,1.0,original,original,1,1000,0.735,0.696,0.30400000000000005,0.9469387755102041,0.05306122448979589,39,1.0,1.0,0.17143710426572942,0.2534598261117935,-0.09339757636189461,0.4870668724179268
0.00784313725490196,2.0,hira_ranpac_regression,hira_ranpac_regression,1,1000,0.732,0.669,0.33099999999999996,0.9139344262295082,0.08606557377049184,63,1.0,1.0,0.1473600059404853,0.2293667122721672,-0.16477202624082565,0.5010556131601334
0.00784313725490196,2.0,hira_ranpac_regression,original,0,1000,0.735,0.671,0.32899999999999996,0.9129251700680272,0.0870748299319728,63,0.8888888888888888,0.8813559322033898,0.14026977866329252,0.21529299020767212,-0.14851725846529007,0.47550061345100403
0.00784313725490196,2.0,original,hira_ranpac_regression,0,1000,0.732,0.657,0.34299999999999997,0.8975409836065574,0.10245901639344257,70,0.9571428571428572,0.9516129032258065,0.13906557658669044,0.21526362746953964,-0.18195582926273346,0.49316979944705963
0.00784313725490196,2.0,original,original,1,1000,0.735,0.665,0.33499999999999996,0.9047619047619048,0.09523809523809523,70,1.0,1.0,0.13099194355960936,0.1987612470984459,-0.16586356610059738,0.46735530346632004
